Model,Regime,N,MAE,RMSE,R2,QLIKE
Naive (last 5d RV),low,111,0.04657108612811464,0.06870505786060983,-0.4013230171491571,2.270583116762953
Naive (last 5d RV),medium,300,0.04116951940013005,0.05427849408933173,-0.3655551857210584,0.6306942299583395
Naive (last 5d RV),high,183,0.08526170926560185,0.1448364873634923,-0.09443879673092637,0.7409080280299899
Naive (last 21d RV),low,111,0.047352044822823874,0.06551237087432159,-0.27411159942308205,1.2061319092768068
Naive (last 21d RV),medium,300,0.03623921517750726,0.047658457781309234,-0.052770349552640816,0.3219879224665419
Naive (last 21d RV),high,183,0.09778700373491762,0.15554788912757428,-0.26230341317445505,0.6852712096052327
Linear Regression,low,111,0.04764842320313914,0.05718188488937366,0.029316226103970666,0.5660377610238447
Linear Regression,medium,300,0.036610802623315286,0.04603448248543464,0.01775414176832979,0.24879322426510295
Linear Regression,high,183,0.06630952200506714,0.11512205589851837,0.308563046599715,0.5394481468076905
HAR,low,111,0.0453902905948645,0.060998074261921824,-0.1045695959193913,0.8660277879819571
HAR,medium,300,0.03656857516680812,0.046893095764389665,-0.019228326722832145,0.3080325796498544
HAR,high,183,0.07314076427047259,0.12719442078336124,0.15594327057251334,0.641433669823423
Random Forest,low,111,0.04591596739503251,0.054733854760608255,0.11064959544988229,0.5007228807796128
Random Forest,medium,300,0.03029000239990809,0.03953860510956167,0.2754032810872111,0.2268335027488093
Random Forest,high,183,0.05797849361268404,0.10865938120678093,0.38401523959460493,0.49085617202719045
XGBoost,low,111,0.04591553523517734,0.05597278596665683,0.0699320395850016,0.5596483700262114
XGBoost,medium,300,0.0316922561842672,0.040162677904432544,0.25234885904414506,0.22400605277399516
XGBoost,high,183,0.06759758857132141,0.12438980509359943,0.19275551353894516,0.5081906185828723
"GARCH(1,1)",low,111,0.04820846837836332,0.058457470189398945,-0.014473880532996697,0.6318669059133918
"GARCH(1,1)",medium,300,0.03809041967027594,0.04796631004269002,-0.06641512577728892,0.28238886175817496
"GARCH(1,1)",high,183,0.08199525845502856,0.13296402592140347,0.0776328537627875,0.611380353694472
