,importance
rv_5d,0.17167658
vix,0.13059738
drawdown,0.08714323
rv_10d,0.0651059
ret_mean_21d,0.06481891
vix_std_21d,0.045633785
dist_ma_200d,0.04231966
parkinson_10d,0.041633237
downside_vol_21d,0.037211128
return_10d,0.03546177
relative_volume_21d,0.02696647
dist_ma_21d,0.024059424
term_spread,0.021771505
yield_10y_change_21d,0.020698432
volume_trend_5_21,0.0153498
return_5d,0.015347991
dist_ma_63d,0.014833961
return_21d,0.013928164
yield_10y,0.011927881
vix_change_5d,0.011701402
vix_mean_21d,0.011490647
return_63d,0.010352436
rv_63d,0.009740543
neg_return_frac_21d,0.009442909
garman_klass_21d,0.008691491
max_drawdown_63d,0.0072115464
vix_rv_spread,0.0067391866
parkinson_21d,0.006708859
volume_change_1d,0.0062462324
ret_skew_63d,0.0061066286
ret_std_21d,0.005242808
rv_21d,0.0044486388
vix_change_1d,0.003774107
vix_pct_change_1d,0.0035928842
log_return_1d,0.0020245244
